stop_index,stop_name
467,Chmelnice
468,Chmelnice
469,Chodovec
470,Chodovec
471,Na Petynce
472,Na Petynce
473,Chodovska
474,Chodovska
475,Chodovska
476,Chodovska
477,Skola Radlice
478,Skola Radlice
479,Skola Radlice
480,Skola Radlice
481,Skola Radlice
482,Skola Radlice
483,Tocna
484,Tocna
485,Chotkovy sady
486,Chotkovy sady
487,Chvaly
488,Chvaly
489,Kavkazska
490,Kavkazska
491,I. P. Pavlova
492,I. P. Pavlova
493,I. P. Pavlova
494,I. P. Pavlova
495,I. P. Pavlova
496,I. P. Pavlova
497,I. P. Pavlova
498,I. P. Pavlova
499,I. P. Pavlova
500,Italska
501,Italska
502,Poliklinika Zahradni Mesto
503,Poliklinika Zahradni Mesto
504,Jahodnice
505,Jahodnice
506,Jalodvorska
507,Jalodvorska
508,Presticka
509,Presticka
510,Jankovcova
511,Jankovcova
512,Korytna
513,Korytna
514,Jeneralka
515,Jeneralka
516,Jericka
517,Jericka
518,Jezerka
519,Jezerka
520,Bakovska
521,Bakovska
522,Bakovska
523,Bakovska
524,Jindrisska
525,Jindrisska
526,Stara Stodulecka
527,Stara Stodulecka
528,Jinonicka
529,Jiraskova ctvrt
530,Jiraskova ctvrt
531,Kyjsky hrbitov
532,Kyjsky hrbitov
533,Jiraskovo namesti
534,Jiraskovo namesti
535,Jiraskovo namesti
536,Jiraskovo namesti
537,Jiriho z Podebrad
538,Jiriho z Podebrad
539,Jiriho z Podebrad
540,Jiriho z Podebrad
541,Jiriho z Podebrad
542,Jiriho z Podebrad
543,Jizni Mesto
544,Jizni Mesto
545,Nad Zavisti
546,Jordanska
547,Juliska
548,Juliska
549,K Cikance
550,K Cikance
551,K Dubecku
552,K Dubecku
553,K Holyni
554,K Holyni
555,K Letisti
556,K Letisti
557,K Obecnim hajovnam
558,K Obecnim hajovnam
559,K Pitkovickam
560,K Pitkovickam
561,Karlovy lazne
562,K Teplarne
563,K Teplarne
564,K Tuchomericum
565,K Tuchomericum
566,K Zizkovu
567,K Zizkovu
568,Myslinska
569,Myslinska
570,Myslinska
571,Kablo
572,Kablo
573,Kablo
574,Kablo
575,Kacerov
576,Kacerov
577,Kacerov
578,Kacerov
579,Kacerov
580,Kacerov
581,Kacerov
582,Kajetanka
583,Kajetanka
584,Kalinuv mlyn
585,Kalinuv mlyn
586,Kamenicka
587,Kamenicka
588,Kamycka
589,Kamycka
590,Kamycka
591,Kamycka
592,Karenova
593,Slanska
594,Slanska
595,Slanska
596,Slanska
597,Karlovo namesti
598,Karlovo namesti
599,Karlovo namesti
600,Moran
601,Palackeho namesti
602,Palackeho namesti
603,Palackeho namesti (nabrezi)
604,Palackeho namesti (nabrezi)
605,Karlovo namesti
606,Karlovo namesti
607,Novomestska radnice
608,Vaclavska
609,Karlovo namesti
610,Karlovo namesti
611,Karlstejnska
612,Karlstejnska
613,Katerinky
614,Katerinky
615,Kavalirka
616,Kavalirka
617,Kavalirka
618,Kavalirka
619,Kavalirka
620,Kazanka
621,Kazanka
622,Kbelska
623,Kbelska
624,Kbelska
625,Kbelska
626,Kbely
627,Kbely
628,Kbely
629,Kbely
630,Kbely
631,Kbely
632,Kbely
633,Kbely
634,Ke Kamence
635,Ke Kamence
636,Branicke namesti
637,Branicke namesti
638,Ke Schodum
639,Ke Smrcine
640,Ke Smrcine
641,Ke Stadionu
642,Ke Stadionu
643,Ke Stirce
644,Ke Stirce
645,Kelerka
646,Kelerka
647,Kesnerka
648,Khodlova
